Código OCDE,Nome - Grau
342C01,Comunicação institucional - Tecnológico
342M02,Marketing - Tecnológico
342P02,Publicidade e Propaganda - Bacharelado
342R01,Relações Públicas - Bacharelado
343S01,Gestão de Seguros - Teconológico
344C02,Ciências Contábeis - Bacharelado
345A01,Administração - Bacharelado
345A02,Gestão de cooperativas  - Tecnológico
345A07,Gestão hospitalar  - Tecnológico
345A10,Gestão pública  - Tecnológico
345C01,Processos gerenciais  - Tecnológico
345G09,Gestão de recursos humanos  - Tecnológico
345G10,Gestão da qualidade  - Tecnológico
345G13,Logística  - Tecnológico
345G16,Gestão comercial  - Tecnológico
345G17,Gestão financeira  - Tecnológico
345G26,Gestão de segurança privada - Tecnológico
346S01,Secretariado  - Tecnológico
346S03,Secretariado Executivo - Bacharelado
380D01,Direito - Bacharelado
421B07,Biomedicina - Bacharelado
421B12,Biotecnologia - Tecnológico
421C01,Ciências Biológicas - Bacharelado
422S01,Saneamento ambiental - Tecnológico
440C01,Bacharelado Interdisciplinar em Ciência e Tecnologia  - Bacharelado
441F01,Física - Bacharelado
441R01,Física Medica e Radioterapia - Bacharelado
442Q01,Química - Bacharelado
443C01,Ciência da Terra - Licenciatura
443G03,Geofísica - Bacharelado
443G05,Geografia - Bacharelado
443G06,Geologia - Bacharelado
443M01,Meteorologia - Bacharelado
443O01,Oceanografia - Bacharelado
461M01,Matemática - Bacharelado
462C01,Ciências Atuariais - Bacharelado
462E01,Estatística - Bacharelado
481A01,Redes de computadores - Tecnológico
481B01,Banco de dados - Tecnológico
481C01,Ciência da Computação - Bacharelado
481T01,Gestão da tecnologia da informação - Tecnológico
481T02,Jogos Digitais - Tecnológico
482U01,Sistemas para internet - Tecnológico
483S01,Análise e desenvolvimento de sistemas / Segurança da informação - Tecnológico
483S02,Sistemas de Informação - Bacharelado
520A01,Automação industrial - Tecnológico
520E01,Engenharia - Bacharelado
520E04,Engenharia de Materiais - Bacharelado
520E05,Engenharia de Produção - Bacharelado
520E09,Engenharia Ambiental e Sanitária - Bacharelado
520G01,Geoprocessamento - Tecnológico
520M01,Manutenção industrial - Tecnológico
520P02,Gestão da produção industrial - Tecnológico
520T01,Gestão de telecomunicações - Tecnológico
521E05,Engenharia Mecânica - Bacharelado
521E06,Engenharia Metalúrgica - Bacharelado
521M03,Mecânica de precisão - Tecnológico
521T02,Processos metalúrgicos - Tecnológico
521T03,Fabricação mecânica - Tecnológico
522D02,Sistemas elétricos - Tecnológico
522E06,Engenharia Elétrica - Bacharelado
522E08,Sistemas de energia - Tecnológico
522R01,Refrigeração/Aquecimento - Tecnológico
522T02,Eletrotécnica industrial - Tecnológico
523B01,Engenharia Biomédica - Bacharelado
523E04,Engenharia de Computação - Bacharelado
523E09,Engenharia Eletrônica - Bacharelado
523E10,Engenharia mecatrônica - Bacharelado
523E11,Engenharia de Controle e Automação - Bacharelado
523E12,Engenharia de Telecomunicações - Bacharelado
523M01,Sistemas biomédicos - Tecnológico
523S03,Sistemas eletrônicos - Tecnológico
523T01,Redes de telecomunicações / Sistemas de telecomunicações - Tecnológico
523T04,Mecatrônica industrial - Tecnológico
523T05,Telemática - Tecnológico
523T06,Eletrônica industrial - Tecnológico
524E01,Engenharia de Bioprocessos - Bacharelado
524E06,Engenharia nuclear - Bacharelado
524E07,Engenharia Química - Bacharelado
524T03,Processos químicos - Tecnológico
524T04,Biocombustíveis - Tecnológico
525A01,Mecanização Agrícola - Tecnológico
525C04,Construção naval - Tecnológico
525E04,Engenharia Aeronáutica - Bacharelado
525E05,Engenharia automotiva - Bacharelado
525E08,Engenharia Naval - Bacharelado
525M01,Manutenção de aeronaves - Tecnológico
525S01,Sistemas Automotivos - Tecnológico
540F02,Produção Joalheira/Design de jóias e gemas - Tecnológico
540F03,Produção Gráfica  - Tecnológico
541E01,Engenharia de Alimentos - Bacharelado
541I02,Laticínios  - Tecnológico
541P05,Processamento de Carnes  - Tecnológico
541P09,Viticultura e Enologia  - Tecnológico
541T01,Alimentos  - Tecnológico
541T02,Produção Sucroalcooleira  - Tecnológico
541T03,Produção de Cachaça  - Tecnológico
542B01,Bioenergia - Tecnológico
542E03,Engenharia Têxtil - Bacharelado
542I01,Produção de vestuário  - Tecnológico
542I02,Produção têxtil  - Tecnológico
543C01,Cerâmica - Tecnológico
543F03,Produção moveleira  - Tecnológico
543F05,Papel e celulose  - Tecnológico
543P06,Polímeros - Tecnológico
544E01,Engenharia de Minas - Bacharelado
544E05,Petróleo e gás  - Tecnológico
544E07,Engenharia de Petróleo - Bacharelado
544M02,Mineração e extração - Tecnológico
544R01,Rochas ornamentais  - Tecnológico
544T01,Tecnologia de Mineração - Tecnológico
581A05,Arquitetura e Urbanismo - Bacharelado
582A01,Obras hidráulicas - Tecnológico
582A02,Agrimensura - Tecnológico
582C05,Construção de Edifícios - Tecnológico
582E02,Engenharia Cartográfica e de Agrimensura - Bacharelado
582E03,Engenharia Civil - Bacharelado
582M02,Material de construção - Tecnológico
582O01,Controle de obras - Tecnológico
582T04,Estradas - Tecnológico
621A03,Agroindústria - Tecnológico
621A04,Agronomia - Bacharelado
621A06,Agroecologia - Tecnológico
621E03,Engenharia Agrícola - Bacharelado
621M02,Produção Agrícola - Tecnológico
621T01,Irrigação e Drenagem - Tecnológico
621T03,Agronegócio - Tecnológico
621T04,Cafeicultura - Tecnológico
621T05,Produção de Grãos - Tecnológico
621Z01,Zootecnia - Bacharelado
622H01,Horticultura - Tecnológico
623E01,Engenharia Florestal - Bacharelado
623S01,Silvicultura - Tecnológico
624A01,Aqüicultura - Tecnológico
624E01,Engenharia de Pesca - Bacharelado
624T01,Produção Pesqueira - Tecnológico
641M01,Medicina Veterinária - Bacharelado
720E01,Educação Física - Bacharelado
720N01,Naturologia - Bacharelado
720S01,Bacharelado Interdisciplinar Ciências da Saúde - Bacharelado
721M01,Medicina - Bacharelado
721O02,Oftálmica - Tecnológico
723E01,Enfermagem - Bacharelado
724O01,Odontologia - Bacharelado
725T06,Radiologia - Tecnológico
726F01,Fisioterapia - Bacharelado
726F03,Fonoaudiologia - Bacharelado
726N02,Nutrição - Bacharelado
726O01,Óptica e Optometria - Tecnológico 
726Q01,Quiropraxia - Bacharelado
726T01,Terapia Ocupacional - Bacharelado
727F01,Farmácia - Bacharelado
762S01,Serviço Social - Bacharelado
811G01,Gastronomia - Tecnológico
811H02,Hotelaria - Tecnológico
811H03,Hotelaria Hospitalar - Tecnológico
812E01,Eventos - Tecnológico
812P01,Gestão de Turismo - Tecnológico
812T01,Turismo - Bacharelado
813F02,Futebol - Tecnológico
813G02,Gestão desportiva e de lazer - Tecnológico
814E02,Economia doméstica - Bacharelado
815E01,Estética e Cosmética - Tecnológico
840A01,Pilotagem profissional de aeronaves - Tecnológico
840C04,Ciências Aeronáuticas - Bacharelado*
840C05,Ciências Navais - Bacharelado*
840N02,Sistemas de navegação fluvial - Tecnológico
840S01,Gestão portuária - Tecnológico
840S02,Transporte aéreo - Tecnológico
840T02,Transporte terrestre - Tecnológico
850G01,Processos ambientais / Gestão ambiental - Tecnológico
861S02,Segurança no trânsito / Segurança pública - Tecnológico
861S03,Serviços penais - Tecnológico
862S01,Segurança no trabalho - Tecnológico
863C01,Ciências Militares - Bacharelado*
863C02,Ciências da Logística - Bacharelado*
863F01,Formação Militar - Bacharelado*
999990,Outro curso de formação superior - Licenciatura
999991,Outro curso de formação superior - Bacharelado
999992,Outro curso de formação superior - Tecnológico
212999,Música e artes cênicas
341999,Vendas em atacado e varejo
523999,Eletrônica e automação
525999,"Veículos a motor, construção naval e aeronáutica"
621999,Produção agrícola e pecuária
840999,Transportes e serviços
862999,Saúde e segurança do trabalho
343F01,"Finanças, bancos, seguros"
347V01,Vida profissional
443P01,Paleontologia
520D01,Desenho industrial
540F01,Fabricação e processamento
1,Administração
2,Agronomia/Geologia/Ciências da Terra
3,Arquitetura e Urbanismo
4,Artes Cênicas
5,Astronomia
6,Belas Artes/Artes Plásticas/Educação Artística
7,Biblioteconomia
8,Ciências
9,Ciências Biológicas
10,Ciências Sociais/Sociologia
11,Comunicação Social
12,Direito
13,Educação Física
14,Engenharia
15,Estatística/Atuaria/Ciências Contábeis/Ciências Econômicas
16,Estudos Sociais
17,Filosofia
18,Física
19,Geografia
20,História
21,Informática/Computação/Processamento de Dados
22,Letras/Literatura/Língua Portuguesa
23,Letras/Literatura/Língua Estrangeira
24,Licenciatura Intercultural Específica
25,Matemática
26,Medicina/Odontologia/Enfermagem/Farmácia
27,Música
28,Pedagogia/Ciências da Educação
29,Psicologia
30,Química
31,Religião/Teologia
32,Outros Cursos
